STT,ID_cau_VLSP,Nguon_ZH,Tham_chieu_VI,Ban_dich_He_A,Ban_dich_He_B
40,vi-zh-2022-test-0040,在该地区各国正加快完成疫苗接种计划的背景下，欧洲正逐步适应并采取措施促进经济增长。,"Tuy nhiên, với nhiều giải pháp, kinh tế châu Âu đang có dấu hiệu tăng trưởng tích cực.","Trong bối cảnh các quốc gia trong khu vực đang đẩy nhanh tiến độ hoàn thành kế hoạch tiêm chủng, châu Âu đang dần thích ứng và thực hiện các biện pháp thúc đẩy tăng trưởng kinh tế.",Châu Âu đang dần thích nghi và thực hiện các biện pháp nhằm thúc đẩy tăng trưởng kinh tế khi các nước trong khu vực đẩy nhanh việc hoàn thành các chương trình tiêm chủng của mình.
41,vi-zh-2022-test-0041,放宽防疫措施是经济复苏的“杠杆”,Nới lỏng các biện pháp kiểm soát dịch bệnh là “đòn bẩy” phục hồi nền kinh tế,"Nới lỏng các biện pháp phòng dịch là ""đòn bẩy"" cho sự phục hồi kinh tế.",Nới lỏng các biện pháp phòng chống dịch là “đòn bẩy” phục hồi kinh tế
42,vi-zh-2022-test-0042,据初步评估，在欧洲各国放松防疫限制措施以及政府提供资助后，欧盟经济继续显示积极的复苏迹象。,"Theo đánh giá sơ bộ, khu vực EU tiếp tục cho thấy những dấu hiệu phục hồi tích cực khi các quốc gia nới lỏng nhiều biện pháp hạn chế nhằm ngăn chặn đại dịch COVID-19 và sự hỗ trợ liên tục của các Chính phủ.","Theo đánh giá ban đầu, kinh tế Liên minh châu Âu tiếp tục cho thấy những dấu hiệu phục hồi tích cực sau khi các nước châu Âu nới lỏng các biện pháp phòng chống dịch bệnh và chính phủ cung cấp các khoản tài trợ.","Theo đánh giá sơ bộ, nền kinh tế EU tiếp tục có dấu hiệu phục hồi tích cực sau khi các nước châu Âu nới lỏng các hạn chế chống dịch và các chính phủ cung cấp kinh phí."
43,vi-zh-2022-test-0043,欧盟各国经济复苏的驱动力是向企业（制造业）和净出口投资。,"Động lực cho sự phục hồi kinh tế của các nước EU là đầu tư của doanh nghiệp (trong lĩnh vực sản xuất), xuất khẩu ròng.",Động lực phục hồi kinh tế của các nước Liên minh Châu Âu là đầu tư vào doanh nghiệp (sản xuất) và xuất khẩu ròng.,Sự phục hồi kinh tế ở các nước EU được thúc đẩy bởi đầu tư vào doanh nghiệp (sản xuất) và xuất khẩu ròng.
44,vi-zh-2022-test-0044,尽管欧元区通胀率居高不下，但原因是受疫情及相关因素影响，这个通胀率仍被认为是暂时的。,"Mặc dù tỷ lệ lạm phát của khu vực đồng Euro vẫn duy trì ở mức cao, mức lạm phát này vẫn được đánh giá mang tính chất tạm thời do các yếu tố liên quan đến đại dịch.","Mặc dù tỷ lệ lạm phát của khu vực đồng Euro vẫn ở mức cao, nhưng do ảnh hưởng của đại dịch và các yếu tố liên quan, tỷ lệ lạm phát này vẫn được xem là tạm thời.",Mặc dù tỷ lệ lạm phát tại khu vực đồng Euro vẫn ở mức cao nhưng vẫn được coi là tạm thời do ảnh hưởng của dịch bệnh và các yếu tố liên quan.
45,vi-zh-2022-test-0045,疫情后经济复苏基金是欧盟至2027年长期预算计划的一部分，旨在克服疫情爆发造成的经济和社会后果。,"Quỹ phục hồi kinh tế hậu COVID-19 là một phần trong gói ngân sách dài hạn đến năm 2027 của EU, nhằm giải quyết những hậu quả về kinh tế và xã hội sau khi đại dịch COVID-19 bùng phát.","Quỹ phục hồi kinh tế sau đại dịch là một phần trong kế hoạch ngân sách dài hạn của Liên minh Châu Âu đến năm 2027, nhằm khắc phục những hậu quả kinh tế và xã hội do đại dịch gây ra.",Quỹ phục hồi kinh tế sau dịch bệnh là một phần trong kế hoạch ngân sách dài hạn của EU cho đến năm 2027 và được thiết kế để khắc phục hậu quả kinh tế và xã hội do dịch bệnh bùng phát.
46,vi-zh-2022-test-0046,7月中旬，欧盟还正式批准了12个国家提交的复苏计划，为欧盟首次发放无偿援助和贷款铺平了道路。,"Giữa tháng 7, EU cũng chính thức thông qua kế hoạch phục hồi do 12 nước đệ trình, nhằm mở đường cho đợt giải ngân các khoản tài trợ và cho vay đầu tiên của khối này.","Vào giữa tháng 7, Liên minh châu Âu cũng đã chính thức phê duyệt các kế hoạch phục hồi do 12 quốc gia đệ trình, mở đường cho việc EU lần đầu tiên giải ngân viện trợ không hoàn lại và cho vay.","Giữa tháng 7, EU cũng chính thức phê duyệt các kế hoạch phục hồi do 12 nước đệ trình, mở đường cho EU lần đầu tiên cấp viện trợ và cho vay miễn phí."
47,vi-zh-2022-test-0047,越南党和国家明确可持续减贫是国家革新、建设和发展的贯穿性、统领性、重要的大主张。,"Đảng và Nhà nước Việt Nam xác định công tác giảm nghèo bền vững là chủ trương lớn, quan trọng, nhất quán, xuyên suốt trong quá trình thực hiện công cuộc đổi mới, xây dựng và phát triển đất nước.","Đảng và Nhà nước Việt Nam xác định giảm nghèo bền vững là chủ trương xuyên suốt, bao trùm, quan trọng trong công cuộc đổi mới, xây dựng và phát triển đất nước.","Đảng và Nhà nước Việt Nam đã xác định rõ giảm nghèo bền vững là vấn đề xuyên suốt, hàng đầu và quan trọng trong công cuộc đổi mới, xây dựng và phát triển đất nước."
48,vi-zh-2022-test-0048,越南还制定了2021-2025年阶段贫困线标准，为农村地区人均月收入150万盾，城市地区200万盾。,"Việt Nam cũng xây dựng chuẩn nghèo giai đoạn 2021-2025 với tiêu chí thu nhập bình quân đầu người một tháng tại khu vực nông thôn là 1.500.000 đồng, khu vực thành thị là 2.000.000 đồng","Việt Nam cũng đã ban hành chuẩn nghèo giai đoạn 2021-2025, với mức thu nhập bình quân đầu người hàng tháng là 1,5 triệu đồng đối với khu vực nông thôn và 2 triệu đồng đối với khu vực thành thị.","Việt Nam cũng đã đưa ra chuẩn nghèo cho giai đoạn 2021-2025, đó là thu nhập bình quân đầu người mỗi tháng là 1,5 triệu đồng ở nông thôn và 2 triệu đồng ở thành thị."
49,vi-zh-2022-test-0049,该计划的目标是多维、包容、可持续减贫，防止返贫和新致贫发生；支持贫困户和贫困者脱离最低生活标准，享有国家多维贫困线规定的基本社会服务，提高生活质量；支持沿海地区和海岛贫困地区脱离贫困和特困状况。,"Mục tiêu của kế hoạch nói trên là giảm nghèo đa chiều, bao trùm, bền vững, hạn chế tái nghèo và phát sinh nghèo; hỗ trợ người nghèo, hộ nghèo vượt lên mức sống tối thiểu, tiếp cận các dịch vụ xã hội cơ bản theo chuẩn nghèo đa chiều quốc gia, nâng cao chất lượng cuộc sống; hỗ trợ các huyện nghèo, xã đặc biệt khó khăn vùng bãi ngang ven biển và hải đảo thoát khỏi tình trạng nghèo, đặc biệt khó khăn.","Mục tiêu của kế hoạch là giảm nghèo đa chiều, bao trùm và bền vững, ngăn ngừa tái nghèo và phát sinh nghèo mới; hỗ trợ các hộ nghèo và người nghèo thoát khỏi mức sống tối thiểu, được hưởng các dịch vụ xã hội cơ bản theo quy định của đường nghèo đa chiều quốc gia, nâng cao chất lượng cuộc sống; hỗ trợ các vùng nghèo, vùng đặc biệt khó khăn ở khu vực ven biển và hải đảo thoát khỏi tình trạng nghèo và đặc biệt khó khăn.","Mục tiêu của kế hoạch là giảm nghèo đa chiều, toàn diện, bền vững và ngăn ngừa tái nghèo, nghèo mới; hỗ trợ hộ nghèo, người nghèo thoát khỏi mức sống tối thiểu, được hưởng các dịch vụ xã hội cơ bản theo chuẩn nghèo đa chiều quốc gia và nâng cao chất lượng cuộc sống; hỗ trợ các vùng ven biển, vùng nghèo hải đảo thoát nghèo, nghèo cùng cực."
50,vi-zh-2022-test-0050,该计划还投资发展贫困核心地区的社会经济基础设施，提高贫困人口的收入和生活质量，培训职业技能，创造良好的就业机会，支持弱势群体脱贫。,"Chương trình cũng đầu tư phát triển hạ tầng kinh tế - xã hội vùng lõi nghèo, nâng cao thu nhập, chất lượng cuộc sống của người nghèo, đào tạo kỹ năng nghề, tạo việc làm tốt, hỗ trợ đối tượng yếu thế không rơi vào tình trạng nghèo đói.","Kế hoạch này còn đầu tư phát triển cơ sở hạ tầng kinh tế - xã hội tại các khu vực nghèo khó, nâng cao thu nhập và chất lượng cuộc sống cho người dân nghèo, đào tạo kỹ năng nghề, tạo cơ hội việc làm tốt, hỗ trợ các nhóm yếu thế thoát nghèo.","Kế hoạch cũng đầu tư phát triển cơ sở hạ tầng kinh tế - xã hội ở các vùng đói nghèo cốt lõi, cải thiện thu nhập và chất lượng cuộc sống của người nghèo, đào tạo kỹ năng nghề, tạo cơ hội việc làm tốt và hỗ trợ các nhóm thiệt thòi thoát nghèo."
51,vi-zh-2022-test-0051,越南还推动实现包容性减贫目标，特别是提高收入和保障基本社会服务，如就业、教育、医疗、住房、清洁生活用水和卫生、信息等，以进一步为所有人、在任何地方、任何时候、从各个方向消除饥饿贫困。,"Việt Nam cũng đẩy mạnh thực hiện mục tiêu giảm nghèo bao trùm, nhất là nâng cao thu nhập và bảo đảm các chiều dịch vụ xã hội cơ bản như việc làm, giáo dục, y tế, nhà ở, nước sạch sinh hoạt và vệ sinh, thông tin để tiến tới xoá bỏ nghèo đói cho mọi người, ở mọi nơi, mọi thời điểm và mọi chiều.","Việt Nam cũng thúc đẩy các mục tiêu giảm nghèo bao trùm, đặc biệt là tăng thu nhập và đảm bảo các dịch vụ xã hội cơ bản như việc làm, giáo dục, y tế, nhà ở, nước sạch và vệ sinh, thông tin, v.v., nhằm xóa bỏ nạn đói và nghèo đói cho tất cả mọi người, ở mọi nơi, mọi lúc, từ mọi phía.","Việt Nam cũng thúc đẩy mục tiêu giảm nghèo toàn diện, đặc biệt là tăng thu nhập và đảm bảo các dịch vụ xã hội cơ bản như việc làm, giáo dục, chăm sóc y tế, nhà ở, nước sạch và vệ sinh, thông tin... nhằm xóa đói hơn nữa tình trạng đói nghèo cho mọi người, mọi nơi, mọi lúc và từ mọi hướng."
52,vi-zh-2022-test-0052,越南疫情防控工作正出现积极信号。,Việt Nam đang ghi nhận những tín hiệu tích cực trong công tác phòng chống dịch.,Công tác phòng chống dịch bệnh tại Việt Nam đang có những tín hiệu tích cực.,"Công tác phòng, chống dịch của Việt Nam đang có những tín hiệu tích cực."
53,vi-zh-2022-test-0053,这是越南着手恢复生产，发展经济的时候。,"Đây là thời điểm Việt Nam có thể bắt tay nhanh chóng vào khôi phục sản xuất, phát triển kinh tế.","Đây là thời điểm Việt Nam bắt tay vào khôi phục sản xuất, phát triển kinh tế.",Đây là thời điểm Việt Nam bắt đầu khôi phục sản xuất và phát triển kinh tế.
54,vi-zh-2022-test-0054,各级领导人几天来做出的指导表明越南恢复增长的巨大决心。,Một loạt chỉ đạo mang tính định hướng của các cấp lãnh đạo được đưa ra trong những ngày qua cho thấy quyết tâm rất lớn của Việt Nam trong việc lấy lại đà tăng trưởng.,Những chỉ đạo của các cấp lãnh đạo trong những ngày qua cho thấy quyết tâm phục hồi tăng trưởng mạnh mẽ của Việt Nam.,Sự chỉ đạo của lãnh đạo các cấp trong những ngày qua thể hiện quyết tâm cao độ của Việt Nam trong việc khôi phục tăng trưởng.
